date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-09-23 14:11:10,KingSalman,,51001,267188,251380,"نحمد الله أن أكرم بلادنا بخدمة الحرمين الشريفين، وبما هيأه لنا من عزٍّ وتمكين، وقيم نبيلة، وشعب يعتز ببلاده. إن يومنا الوطني اعتزاز بتاريخنا، وترسيخ لمكانة هذا الوطن بين الأمم، وتطلع لغدٍ مشرق بالنماء والرخاء. سائلين الله أن يحفظ بلادنا، ويديم عليها الأمن والاستقرار.",,,,1176136929823399942,https://twitter.com/KingSalman/status/1176136929823399942
2019-08-11 05:02:32,KingSalman,,45038,197878,187538,"نبتهل إلى العلي القدير، أن يجعل حج إخواننا ضيوف الرحمن حجًا مبرورًا، وأن يتقبل منهم حجهم وعباداتهم. وإننا في هذه البلاد وقد شرفنا الله بخدمة الحرمين الشريفين نذرنا أنفسنا، قيادة وحكومة وشعبًا لراحة ضيوف الرحمن، داعين الله أن يديم على أمتنا الخير والسلام. وكل عام وأنتم بخير.",,,,1160416184703082496,https://twitter.com/KingSalman/status/1160416184703082496
2019-06-04 04:10:04,KingSalman,,48105,188965,177926,"أهنئكم بعيد الفطر المبارك، من جوار بيت الله الحرام. كل عام وأنتم ووطننا الغالي، وأمتينا العربية والإسلامية، والعالم أجمع بخير. أسأل الله أن يتقبل منا ومنكم صالح الأعمال، وعيدكم مبارك.",,,,1135760604852105217,https://twitter.com/KingSalman/status/1135760604852105217
2019-05-31 19:51:24,KingSalman,,31610,174542,153491,"نجتمع في مكة لنعمل على بناء مستقبل شعوبنا، وتحقيق الأمن والاستقرار لدولنا العربية والإسلامية، وسنتصدى بحزم للتهديدات العدوانية والأنشطة التخريبية؛ كي لا تعيقنا عن مواصلة تنمية أوطاننا وتطوير مجتمعاتنا.",,,,1134547949348970496,https://twitter.com/KingSalman/status/1134547949348970496
2019-05-05 19:31:00,KingSalman,,48990,238736,205700,"نحمد الله أن بلّغنا شهر رمضان المبارك، الذي يبعث في نفوس المسلمين المعاني السامية لديننا القويم، من تسامح ورحمة وتعاضد. سائلين الله أن يجعله شهر خير على عموم بلاد المسلمين، والعالم أجمع، وكل عام وأنتم بخير.",,,,1125120731979964416,https://twitter.com/KingSalman/status/1125120731979964416
2019-03-15 20:59:29,KingSalman,,30387,246493,180836,"إن المجزرة الشنيعة في استهداف المصلين الآمنين بمسجدين في نيوزلندا، عمل إرهابي، وتؤكد مسؤولية المجتمع الدولي في مواجهة خطابات الكراهية والإرهاب، التي لا تقرها الأديان ولا قيم التعايش بين الشعوب. نسأل الله أن يرحم الشهداء الأبرياء، ويعجّل بشفاء المصابين.",,,,1106661216766836736,https://twitter.com/KingSalman/status/1106661216766836736
2018-09-23 17:08:30,KingSalman,,42379,231475,180285,"الحمد لله الذي مَنَّ على بلادنا بنعمة الأمن والأمان والاستقرار، وأكرمنا بخدمة الحرمين الشريفين. نتطلع مع ذكرى يومنا الوطني المجيد إلى مزيد من الإنجاز لتحقيق الخير والازدهار للوطن وشعبه.",,,,1043909986156507136,https://twitter.com/KingSalman/status/1043909986156507136
2018-08-21 10:24:34,KingSalman,,25591,188550,154739,"إن الشرف الأكبر الذي أكرم الله بلادنا هو خدمتها لضيوف الرحمن، ومع عيد الأضحى المبارك، أدعوه سبحانه أن يتمم للحجاج حجهم، وأن يديم الخير والسلام على أمتنا وسائر البلاد.",,,,1031849533054099456,https://twitter.com/KingSalman/status/1031849533054099456
2018-06-15 03:47:52,KingSalman,,30378,156799,124098,"كل عام وأنتم بخير، وتقبل الله منا ومنكم صيام رمضان وقيامه، ونشكر المولى أن أنعم علينا بهذا العيد السعيد، باعثًا للسلام والأمل، ودعواتنا أن يديم على بلادنا وبلاد المسلمين والعالم الخير والاستقرار.",,,,1007469715017601024,https://twitter.com/KingSalman/status/1007469715017601024
2018-05-16 16:18:14,KingSalman,,37300,184106,133668,"أهنئكم بحلول شهر رمضان المبارك، سائلاً الله سبحانه وتعالى أن يعيننا على صيامه وقيامه، وأن يحفظ وطننا وشعبنا، وأن يعم الخير والأمن والاطمئنان على عموم بلاد المسلمين، وكل عام وأنتم بخير.",,,,996786916501712897,https://twitter.com/KingSalman/status/996786916501712897
2018-04-16 12:41:45,KingSalman,,10000,52475,48811,"في استضافة المملكة العربية السعودية لتمرين #درع_الخليج واجتماع قوات أكثر من 24 دولة؛ تأكيد على قدرتنا جميعًا على العمل ضمن تحالف منسق، وتنظيم عسكري موحد؛ لمواجهة التهديدات والمخاطر التي تحيط بمنطقتنا.",,,#درع_الخليج,985860796965163008,https://twitter.com/KingSalman/status/985860796965163008
2018-04-15 09:55:24,KingSalman,,11305,89471,64866,"تسعد المملكة العربية السعودية، باجتماع الأشقاء في #قمة_الظهران التي تتضافر فيها الجهود والنوايا الصادقة لوحدة الرؤى، والتعامل مع كل التحديات، بالقوة والإرادة والتنسيق المشترك.",,,#قمة_الظهران,985456546606960642,https://twitter.com/KingSalman/status/985456546606960642
2017-09-23 13:09:17,KingSalman,,44208,307539,178733,"كل عام وبلادنا بخير وعزة ومجد، وستبقى المملكة حصنًا قويًّا لكل محب للخير، ومحب لدينه ووطنه.",,,,911578216594313218,https://twitter.com/KingSalman/status/911578216594313218
2017-09-01 04:05:51,KingSalman,,24991,200393,129890,"نحمد الله أن مكّن لهذه البلاد خدمة ضيوف الرحمن، ونحمده أن بلغنا عيد الأضحى المبارك، سائلاً الله أن يتقبل من الحجاج حجهم، وكل عام وأنتم بخير.",,,,903468921113554944,https://twitter.com/KingSalman/status/903468921113554944
2017-06-25 03:58:35,KingSalman,,36407,203396,129019,"أهنئكم بعيد الفطر السعيد، وأدعو الله أن يديم على بلادنا أمنها واستقرارها وعزتها ووحدتها وتكاتف أبنائها، وكل عام وأنتم بخير.",,,,878824719457406978,https://twitter.com/KingSalman/status/878824719457406978
2017-05-27 16:57:10,KingSalman,,7320,37170,44793,"I wish you a blessed Ramadan. Praying to Allah to protect our country, Muslim nations, & the world from all evil.",,,,868511408698388480,https://twitter.com/KingSalman/status/868511408698388480
2017-05-27 16:55:35,KingSalman,,18873,120831,76925,"أهنئكم بشهر رمضان المبارك، أحد بواعث الخير والمحبة بين البشر، سائلاً الله أن يحفظ بلادنا وبلاد المسلمين والعالم كافة من الشرور والفتن.",,,,868511009853644800,https://twitter.com/KingSalman/status/868511009853644800
2017-05-21 10:05:52,KingSalman,,7938,76984,52979,"أرحب بالأشقاء والأصدقاء في القمة العربية الإسلامية الأمريكية،التي ستكون آفاقها إيجابية على منطقتنا والعالم،وستوثق تحالفنا ضد التطرف والإرهاب",,,,866233575275995136,https://twitter.com/KingSalman/status/866233575275995136
2017-05-20 10:23:04,KingSalman,,5026,69570,60913,"We welcome @POTUS Trump to KSA. Mr. President, your visit will strengthen our strategic cooperation, lead to global security and stability.",,@POTUS,,865875516334772224,https://twitter.com/KingSalman/status/865875516334772224
2017-05-20 10:13:35,KingSalman,,6008,89634,44248,"نرحب بفخامة الرئيس الأمريكي @POTUS في المملكة. ستعزز زيارتكم تعاوننا الإستراتيجي، وستحقق الأمن والاستقرار للمنطقة والعالم.",,@POTUS,,865873127749951488,https://twitter.com/KingSalman/status/865873127749951488
2017-03-30 13:25:58,KingSalman,,8056,48859,40937,"كل الشكر @KingAbdullahII ولكل الأردنيين على استضافتهم لقمة عربية ناجحة ستسهم بتعزيز العمل العربي المشترك لمواجهة التحديات وخدمة شعوبنا.",,@KingAbdullahII,,847439762961182720,https://twitter.com/KingSalman/status/847439762961182720
2017-03-18 20:00:50,KingSalman,,14869,106134,67947,"وطننا رمزٌ راسخ بجذوره الإسلامية والعربية، ومكانته الدولية، ونتطلع مع الأشقاء والأصدقاء إلى تحالفات أقوى، لمواصلة مسيرة الاستقرار والنماء.",,,,843190478094917632,https://twitter.com/KingSalman/status/843190478094917632
2016-12-10 11:26:30,KingSalman,,18069,135442,89363,"إن دول الخليج العربية وشعوبها، لها في وجداني الكثير من التقدير، وما لمسته خلال زياراتي، يُبرز واقع الترابط القوي بين شعوبنا، ووحدة صفنا.",,,,807547031552147456,https://twitter.com/KingSalman/status/807547031552147456
2016-09-23 19:21:25,KingSalman,,22786,164592,105254,"كل عام والوطن آمن عزيز، ومسيرتنا للبناء والتطوير تتواصل لرفعة بلادنا ونهضتها واستقرارها. كل عام وشعبنا الوفي يعتز بوطنه ويفخر بانتماءه.",,,,779400296686620673,https://twitter.com/KingSalman/status/779400296686620673
2016-09-12 05:29:30,KingSalman,,20892,147275,89911,"يُتوِّج عيد الأضحى فخرنا بخدمة حجاج بيت الله،وخدمة الحرمين الشريفين،وهي النعم الأسمى لنا،دعواتي أن يجعل الله عيدكم سعيدًا،وكل عام وأنتم بخير",,,,775204671648595968,https://twitter.com/KingSalman/status/775204671648595968
2016-07-06 04:21:41,KingSalman,,32762,167495,113479,"عيدكم مبارك، وتقبل الله مني ومنكم صيام رمضان وقيامه، وأسأله سبحانه أن يجعل أعياد أمتنا الإسلامية تامّة بتماسكها واستقرارها، والعالم أجمع.",,,,750545229888032769,https://twitter.com/KingSalman/status/750545229888032769
2016-06-05 19:25:35,KingSalman,,26700,151432,97878,"أهنئكم بقدوم شهر رمضان المبارك، أعاننا الله على صيامه وقيامه، وأن يحفظ لبلادنا أمنها واستقرارها، وعموم بلاد المسلمين.",,,,739538678209511424,https://twitter.com/KingSalman/status/739538678209511424
2016-04-14 17:56:17,KingSalman,,10338,89546,59591,"نأمل أن تحقق القمة الإسلامية أهدافها؛ خدمةً للشعوب الإسلامية، وتحقيقًا للسلام في العالم، شاكرين لتركيا حكومةً وشعبًا تنظيمها وإعدادها للقمة.",,,,720672037941944320,https://twitter.com/KingSalman/status/720672037941944320
2016-04-07 17:17:06,KingSalman,,13490,108743,70585,"لمصر في نفسي مكانة خاصة، ونحن في المملكة نعتز بها، وبعلاقتنا الاستراتيجية المهمة للعالمين العربي والإسلامي، حفظ الله مصر، وحفظ شعبها.",,,,718125462115991552,https://twitter.com/KingSalman/status/718125462115991552
2016-03-11 13:24:58,KingSalman,,3768,67334,37726,"We are proud of our solidarity in #North_Thunder; showing the world our joint resolve in deterring evil and fighting extremism & terrorism.",,,#North_Thunder,708282570794999808,https://twitter.com/KingSalman/status/708282570794999808
2016-03-11 13:22:51,KingSalman,,20277,169385,80546,"فخورون هذا اليوم بتضامننا في #رعد_ الشمال وأن يشاهد العالم عزمنا جميعاً على ردع قوى الشر والتطرف ومحاربة الإرهاب.",,,#رعد_,708282038625951744,https://twitter.com/KingSalman/status/708282038625951744
2015-12-10 18:06:32,KingSalman,,13036,81068,53659,"مجلس التعاون الخليجي بقادته وشعوبه، يسير بقوة إلى الأمام، متجاوزًا كل الظروف، ونعمل وفق خطط عمل شاملة على تحقيق طموحات شعوبنا، وحماية وحدتنا",,,,675013746608234496,https://twitter.com/KingSalman/status/675013746608234496
2015-11-14 21:30:04,KingSalman,,4132,49631,34628,"Paris massacre is an act of terrorism that has no religion. My deep condolences to the people of France. World must unite against terrorism.",,,,665642882125209601,https://twitter.com/KingSalman/status/665642882125209601
2015-11-14 21:26:41,KingSalman,,2262,44713,29906,"Toutes mes condoléances au peuple français.Le terrorisme n'a pasde religion.J'appelle à nouveau le monde à renforcer la lutte antiterroriste",,,,665642030970904576,https://twitter.com/KingSalman/status/665642030970904576
2015-11-14 19:11:03,KingSalman,,6539,92172,47993,"مجزرة باريس الشنعاء لا يقرها دين ولا عقل.الإسلام بريء من هذه التصرفات.أعزي الشعب الفرنسي وندعو العالم مجدداً لتكثيف الجهود في محاربة الارهاب",,,,665607895476789249,https://twitter.com/KingSalman/status/665607895476789249
2015-11-14 15:39:36,KingSalman,,4821,63438,39066,"الشكر لكم فخامة الرئيس @RT_Erdogan ولشعب تركيا العزيز، مع تمنياتي أن تحقق ""قمة العشرين"" الخير للعالم وكافة شعوبه.",,@RT_Erdogan,,665554681637285889,https://twitter.com/KingSalman/status/665554681637285889
2015-11-11 16:59:07,KingSalman,,8481,71504,40734,"سعدنا باستضافة قمة الدول العربية ودول أمريكا الجنوبية في الرياض، ونأمل أن تكون انطلاقتنا الحقيقية للتعاون المشترك بين بلداننا وشعوبنا.",,,,664487531040346112,https://twitter.com/KingSalman/status/664487531040346112
2015-09-24 04:32:01,KingSalman,,15862,104750,46832,"وفق الله حجاج بيته الحرام لأداء نسكهم، الذين نفخر بخدمتهم، وأهنئ المسلمين بحلول عيد الأضحى المبارك، وأهنئ وطننا وشعبنا باليوم الوطني ٨٥.",,,,646904899754659840,https://twitter.com/KingSalman/status/646904899754659840
2015-09-12 22:49:39,KingSalman,,15557,125235,54826,"الحمد لله على قضائه،رحم الله (شهداء) الحرم، وعجّل بشفاء المصابين.وسنستمر ببذل كل ما نستطيع في خدمة ضيوف الحرمين،ولن نتوانى عن محاسبة أي مقصر",,,,642832471671762944,https://twitter.com/KingSalman/status/642832471671762944
2015-07-17 04:54:46,KingSalman,,24631,115224,54532,"كل عام وأنتم بخير، وأمتينا العربية والإسلامية والعالم أجمع في سلام واطمئنان، ودعواتي للشعب السعودي بالتقدم والازدهار والمزيد من الخير.",,,,621905863070998528,https://twitter.com/KingSalman/status/621905863070998528
2015-06-18 14:49:01,KingSalman,,21071,117412,54538,"بارك الله لنا ولكم في رمضان، وجعلنا من صوامه وقوامه. دعواتي أن يكون شهراً مباركاً على الشعب السعودي الكريم، والأمتين العربية والإسلامية.",,,,611546160784875520,https://twitter.com/KingSalman/status/611546160784875520
2015-05-04 18:33:25,KingSalman,,21920,117752,57731,"تمنياتي بالتوفيق لسمو ولي العهد،وسمو ولي ولي العهد، وللوزراء الجدد،وأن يؤدي المسؤولين كافة مهامهم خدمة لشعبنا،الذي لن أقبل التقصير في خدمته.",,,,595295178342076417,https://twitter.com/KingSalman/status/595295178342076417
2015-03-10 20:16:51,KingSalman,,23390,186260,77718,"هدفي الأول أن تكون بلادنا نموذجاً ناجحاً ورائداً في العالم على كافة الأصعدة، وسأعمل معكم على تحقيق ذلك.",,,,575389874854830081,https://twitter.com/KingSalman/status/575389874854830081
2015-02-02 15:46:37,KingSalman,,22520,121923,59892,"بالأمس أقسم أمامي رجال اخترتهم لنهضة الوطن، والمؤمل فيهم الخير، وقد اجتمعنا اليوم بمجلس الوزراء وأوصيتهم بالمواطنين وتحقيق ما نتطلعه لوطننا",,,,562275906488516609,https://twitter.com/KingSalman/status/562275906488516609
2015-01-29 21:21:58,KingSalman,,75890,379836,141982,"أيها الشعب الكريم : تستحقون أكثر ومهما فعلت لن أوفيكم حقكم، أسال الله على أن يعينني وإياكم على خدمة الدين والوطن، ولاتنسوني من دعائكم.",,,,560910747178250240,https://twitter.com/KingSalman/status/560910747178250240
2015-01-27 21:10:31,KingSalman,,4244,20856,31067,"King Salman welcomes President @BarackObama today in Riyadh.pic.twitter.com/gC8v9R4Tpx",,@BarackObama,,560183091788918784,https://twitter.com/KingSalman/status/560183091788918784
2015-01-27 21:08:32,KingSalman,,1106,14649,16925,"A pleasure to host President @BarackObama We discussed our nations' historic ties & strategic partnership to support world peace.",,@BarackObama,,560182592901615616,https://twitter.com/KingSalman/status/560182592901615616
2015-01-27 20:55:25,KingSalman,,5086,31357,26890,"سعدت بلقاء الرئيس أوباما وبحثنا معاً الشراكة الاستراتيجية وتعزيز التعاون بين البلدين، وخدمة السلام العالمي.pic.twitter.com/EXctEGljVt",,,,560179292902936576,https://twitter.com/KingSalman/status/560179292902936576
2015-01-23 07:57:37,KingSalman,,28054,257646,82430,"أسأل الله أن يوفقني لخدمة شعبنا العزيز وتحقيق آماله، وأن يحفظ لبلادنا وأمتنا الأمن والاستقرار، وأن يحميها من كل سوء ومكروه.",,,,558534002072485888,https://twitter.com/KingSalman/status/558534002072485888
2015-01-23 07:53:58,KingSalman,,9922,130204,49297,"رحم الله عبدالله بن عبدالعزيز وجزاه عن شعبه خير الجزاء، وأحسن عزاء الشعب السعودي في فراقه.",,,,558533080827179008,https://twitter.com/KingSalman/status/558533080827179008
2015-01-19 20:35:48,KingSalman,,1481,8802,22650,"الأمير سلمان يستقبل الرئيس المصري عبدالفتاح السيسي خلال اطمئنانه على صحة الملك، بمدينة الملك عبدالعزيز الطبية.pic.twitter.com/3huMuM17xm",,,,557275253437501441,https://twitter.com/KingSalman/status/557275253437501441
2015-01-19 11:39:46,KingSalman,,437,5055,16476,"الأمير سلمان يستقبل السفير الأمريكي في السعودية ويبحث معه المسائل ذات الاهتمام المشترك.pic.twitter.com/KcSpVyE8DD",,,,557140354730700800,https://twitter.com/KingSalman/status/557140354730700800
2015-01-17 16:00:46,KingSalman,,343,5358,14455,"الأمير سلمان يستقبل وفداً من مجلس الشيوخ الأمريكي برئاسة السيناتور جون ماكين ويبحث معهم الأمور ذات الاهتمام المشترك.pic.twitter.com/GbHHNG41cq",,,,556481263624658944,https://twitter.com/KingSalman/status/556481263624658944
2015-01-15 13:35:39,KingSalman,,491,5634,15456,"الأمير سلمان يستقبل رئيس وزراء باكستان، ويؤكدان على أهمية العلاقات الثنائية الوثيقة بين البلدين وسبل تعزيزها.pic.twitter.com/eX0oXHPseA",,,,555719967732015104,https://twitter.com/KingSalman/status/555719967732015104
2015-01-15 13:34:49,KingSalman,,222,3867,12779,"الأمير سلمان الرئيس الفخري لمؤسسة حمد الجاسر الثقافية الخيرية يستقبل معالي رئيس مجلس أمناء المؤسسة وأعضاء المجلس.pic.twitter.com/446i5uxJdj",,,,555719755709964288,https://twitter.com/KingSalman/status/555719755709964288
2015-01-14 21:23:15,KingSalman,,224,4053,11951,"الأمير سلمان يستقبل رئيس جمهورية كوريا الجنوبية السابق ميونق باك لي وجرى خلال اللقاء تبادل الأحاديث الوديه.pic.twitter.com/Nt4YoeidMj",,,,555475255142006784,https://twitter.com/KingSalman/status/555475255142006784
2015-01-14 21:23:02,KingSalman,,178,3834,11338,"الأمير سلمان يستقبل رئيس مؤسسة الصناعات العسكرية بمناسبة حصول المؤسسة على شهادات عالمية في أنظمة متخصصة.pic.twitter.com/Vjs3mS1aoT",,,,555475199424872448,https://twitter.com/KingSalman/status/555475199424872448
2015-01-11 17:18:42,KingSalman,,246,4331,10396,"الأمير سلمان يبحث مع الرئيس الفنزولي نيكولاس مادورو العلاقات بين البلدين، وتعزيز التعاون الثنائي.pic.twitter.com/woGHzRFDYk",,,,554326549290168320,https://twitter.com/KingSalman/status/554326549290168320
2015-01-07 15:00:25,KingSalman,,233,5552,10498,"الأمير سلمان يستقبل الملحق العسكري الكويتي الذي ودع سموه بمناسبة انتهاء فترة عمله في السعودية.pic.twitter.com/ip8yfztH8j",,,,552842197444218881,https://twitter.com/KingSalman/status/552842197444218881
2015-01-07 12:34:48,KingSalman,,157,4617,9383,"الأمير سلمان يستقبل سفير بريطانيا الذي ودع سموه بمناسبة إنتهاء فترة عمله في السعودية.pic.twitter.com/g3HpU3K0nx",,,,552805551868891136,https://twitter.com/KingSalman/status/552805551868891136
2015-01-06 12:42:46,KingSalman,,215,5982,9721,"نيابة عن الملك، الأمير سلمان يفتتح أعمال السنة الثالثة من الدورة السادسة لمجلس الشورى.pic.twitter.com/aSusu2euai",,,,552445166431522818,https://twitter.com/KingSalman/status/552445166431522818
2015-01-05 13:08:56,KingSalman,,157,4028,8489,"الأمير سلمان يؤكد لرئيس الوزراء الفلسطيني مواقف السعودية الثابتة تجاه القضية الفلسطينية والحقوق المشروعة لشعبها.pic.twitter.com/nYONaOsHpT",,,,552089363190804480,https://twitter.com/KingSalman/status/552089363190804480
2015-01-04 16:26:23,KingSalman,,139,3424,7920,"الأمير سلمان ووزير الدفاع الفرنسي جان إيف لودريان يبحثان مجالات التعاون بين السعودية وفرنسا، وخاصة في الجانب الدفاعي.pic.twitter.com/MsOBzrhpN0",,,,551776665664102400,https://twitter.com/KingSalman/status/551776665664102400
2015-01-04 16:25:54,KingSalman,,141,3212,7921,"الأمير سلمان يستقبل وزير الدفاع الفرنسي جان إيف لودريان، ويقيم له مأدبة غداء تكريمية.pic.twitter.com/VqCgQGhnEd",,,,551776545350504449,https://twitter.com/KingSalman/status/551776545350504449
2015-01-03 18:22:51,KingSalman,,162,3046,7752,"الأمير سلمان يرعى حفل سباق الخيل السنوي على كأسي سموه ويتوج الفائزين.pic.twitter.com/sebvnP6GRI",,,,551443586906984449,https://twitter.com/KingSalman/status/551443586906984449
